"CellNumber","Cluster","DistanceToCentroid"
1,1,163.476484868752
2,2,229.389733487829
3,3,188.079242124391
4,1,132.951125699706
5,1,157.536787564696
6,1,96.0054759560003
7,3,150.142183259063
8,3,584.787863927487
9,6,326.774658125878
10,6,171.42896071546
11,1,171.877580711265
12,5,122.198631113979
13,1,125.025001522294
14,1,138.058387656742
15,1,94.4332627420846
16,1,216.005675349873
17,1,258.276375658393
18,1,298.898220629141
19,2,478.871040446521
20,3,218.964837595739
21,2,189.901401901105
22,1,150.042662658053
23,1,235.89098209767
24,1,80.7931280666148
25,3,119.268766710466
26,1,126.058106424222
27,3,184.859243739617
28,3,214.75153858163
29,2,287.21510488519
30,6,215.022048651757
31,1,131.220480659912
32,2,225.190213201884
33,3,128.130964142967
34,1,247.600773648071
35,6,172.163677016359
36,2,95.3389866280853
37,3,78.1971434232873
38,1,1712.24078310939
39,2,151.89031982593
40,2,293.323556183603
41,1,134.17681190086
42,2,230.880895228571
43,1,131.556396118558
44,2,172.472429491358
45,1,150.192560744281
46,2,222.417004810762
47,6,162.471496917313
48,1,179.838375660993
49,1,150.928253950962
50,1,145.874764042355
51,2,127.620948816062
52,2,130.169866612758
53,6,315.775933256918
54,6,127.976900128744
55,6,358.603651597408
56,1,137.983425392086
57,1,136.343574438784
58,2,252.761894457677
59,6,286.909829605133
60,1,114.938159881112
61,1,200.321025903917
62,3,121.028293874237
63,1,158.594186134258
64,1,175.64521684977
65,1,109.227022681642
66,1,52.5773782473284
67,3,123.269716697499
68,2,278.963948811826
69,3,144.335302181701
70,3,423.524542329197
71,2,152.058857182744
72,1,49.4055968413949
73,3,514.539398870411
74,3,473.161079190974
75,1,277.908379376641
76,1,151.282234069035
77,6,100.659722853139
78,2,72.9542566983128
79,3,154.333094353099
80,1,38.5307640336051
81,2,175.612549076645
82,2,277.456909644851
83,5,67.2906630870764
84,1,120.091821924956
85,2,243.789922580934
86,1,135.619883174216
87,1,152.340910280941
88,2,257.512119461693
89,1,75.2776164516958
90,2,405.837282060061
91,6,328.623979394278
92,6,209.849015042079
93,1,108.283095401529
94,1,177.568536650769
95,2,213.242320703001
96,6,119.234094614725
97,1,167.999409947296
98,6,219.276450822942
99,6,137.662068856102
100,5,85.6350977105414
101,1,119.001717189244
102,1,259.700556135149
103,2,145.084834000219
104,6,137.772956755524
105,1,141.753688007186
106,2,116.989683298817
107,3,583.613860402446
108,1,161.12770560067
109,1,150.065337356206
110,2,236.595125879285
111,1,170.009522720664
112,2,191.81226730202
113,1,93.5892056402448
114,1,160.169305145319
115,1,191.860608633904
116,1,163.712456254534
117,1,168.948267947902
118,1,255.018129797996
119,3,144.228136227563
120,1,257.253284053957
121,1,892.492628288019
122,1,134.308969910707
123,3,953.321615825189
124,1,136.312646424666
125,3,441.669952465876
126,6,223.465276763028
127,2,140.72250236406
128,1,142.690909970587
129,5,88.4852626161885
130,1,131.322160034678
131,2,235.966990449017
132,6,220.80514232421
133,3,210.357231894472
134,1,289.678084732935
135,1,110.681412790466
136,1,1755.9534511368
137,2,382.512081157214
138,3,240.682804657019
139,3,319.980969622962
140,1,220.405927138287
141,1,188.086429026143
142,1,68.9691293875805
143,2,194.030338024526
144,1,100.614512104982
145,1,109.543924295882
146,2,286.022337158962
147,3,166.293240049145
148,1,133.19509758973
149,1,179.407370280698
150,3,1677.15866413911
151,1,197.688178442918
152,1,147.464358808835
153,5,112.118842094716
154,3,184.016800093987
155,2,519.910126019371
156,3,142.229197654448
157,3,348.673646375097
158,3,445.014827313261
159,5,114.15537097542
160,3,209.755233241398
161,5,122.831778586576
162,1,122.414780547321
163,2,1019.85905786299
164,3,247.153563790882
165,1,105.220795746305
166,1,193.069140758531
167,2,224.106504288869
168,6,315.167066676453
169,2,314.441284759095
170,1,166.585393778014
171,1,128.04679677789
172,3,91.1109070646227
173,1,69.7584949829323
174,1,128.975710647517
175,1,168.96549913
176,1,177.16405875761
177,1,88.5550717299607
178,1,123.922964488519
179,2,343.698404616589
180,5,284.44570763789
181,1,250.867875067453
182,3,135.155046284289
183,2,140.460194464506
184,1,103.204540264079
185,1,116.926181216995
186,2,223.057306493542
187,1,386.038717640947
188,1,104.83527680248
189,3,434.51508660045
190,2,444.081589042612
191,3,181.23654687128
192,4,473.03348116267
193,1,35.676455699879
194,1,105.043111653228
195,5,122.918123979319
196,2,246.314841514304
197,1,109.984268245142
198,3,350.419983992846
199,3,285.131692848916
200,6,551.989037286555
201,1,102.134660946723
202,1,106.328187637424
203,1,144.458158168863
204,2,436.34526962598
205,2,135.391058323515
206,1,1406.70769667818
207,1,85.3036685453309
208,3,140.424094669776
209,5,123.651092443041
210,5,63.4600305427667
211,1,136.504681427418
212,2,239.270767380279
213,1,210.195327904744
214,1,156.243534465881
215,6,180.416413164327
216,1,265.17468395019
217,1,66.5329848579313
218,2,163.234180205723
219,1,125.942822901995
220,2,114.804507917522
221,1,173.339994943594
222,3,235.147013442195
223,3,150.519638147558
224,1,100.410406077149
225,1,168.878805461677
226,1,166.684944280008
227,2,84.9707490790766
228,7,603.984114407333
229,1,163.377081682435
230,1,215.135960478571
231,1,124.018434712902
232,3,527.156302204378
233,1,66.5814080050236
234,1,101.295640047748
235,1,213.184777383802
236,6,321.559116811014
237,6,137.024589264918
238,1,106.757780407475
239,3,80.7065563644284
240,3,242.575657997123
241,6,194.820419505817
242,6,246.766764079929
243,1,241.224176961212
244,2,251.170148561701
245,1,144.93299278712
246,5,77.3911997731462
247,2,108.10880585565
248,2,186.554505899639
249,3,184.152777253486
250,6,133.708290013636
251,3,1398.54434809579
252,3,414.262521328999
253,1,73.5369116557175
254,2,221.31857960807
255,6,120.271682123131
256,2,144.042655038709
257,1,154.992030030878
258,6,176.148456232894
259,3,394.874350792899
260,3,210.951808050139
261,3,230.753471972833
262,2,170.396365561046
263,1,112.475396712788
264,2,146.605420343087
265,1,170.112582905166
266,6,332.934321306844
267,3,238.55011439742
268,1,214.226761029578
269,6,153.382626581076
270,3,146.349256143985
271,6,242.659726603436
272,1,98.8471108934382
273,1,56.9851735088943
274,3,75.3641207126482
275,5,91.974126742791
276,1,73.7094927018618
277,2,310.98874133747
278,3,111.703997452215
279,1,80.269162034955
280,3,554.394969583078
281,6,387.502407604301
282,1,182.060016702912
283,3,405.865225068286
284,6,534.508227723897
285,2,313.427280040397
286,5,193.978956395264
287,1,186.136863402271
288,3,160.137174724772
289,5,195.282102495314
290,3,256.627083056709
291,3,188.235089165439
292,3,927.434547360445
293,3,129.104236605237
294,2,264.36219872902
295,2,241.273069660726
296,1,171.233810458744
297,1,182.761026699358
298,1,145.409358138096
299,6,153.286112063462
300,2,203.518156466789
301,2,675.501276595642
302,3,132.739378011119
303,3,142.694278899231
304,2,123.593426639617
305,5,105.92334296161
306,3,106.928421651497
307,6,250.180060501779
308,2,272.974394058618
309,1,82.9330693598739
310,3,253.59037533152
311,1,75.6029207803102
312,1,205.627346638185
313,1,126.670861040165
314,1,140.669268754045
315,1,124.274719672454
316,1,113.474302773093
317,1,118.536575661472
318,1,145.786155259284
319,1,177.713175705605
320,6,554.524898579965
321,1,112.980387070391
322,2,122.630625173796
323,6,315.915111771556
324,6,74.1991700874533
325,3,180.514045979735
326,1,114.589889817532
327,1,116.959423540545
328,2,147.890014007955
329,6,138.323694850686
330,1,157.974322219503
331,6,171.334208816134
332,1,214.343125711247
333,3,223.234563777731
334,3,293.208702650975
335,1,118.40325840618
336,5,228.02952283657
337,1,217.868898045511
338,1,193.060684074743
339,1,153.050231576513
340,1,126.975922220778
341,3,398.174929508875
342,2,214.973904906824
343,1,299.005987433868
344,3,200.395729123063
345,3,425.181576785737
346,3,132.851689735453
347,1,256.373710904951
348,3,572.322476304084
349,1,249.512006907746
350,6,202.664842373041
351,6,102.967644851312
352,1,141.545867547886
353,1,134.488581852004
354,2,160.047638820875
355,6,436.340810650931
356,1,62.4931729230097
357,1,163.115186793058
358,6,496.198426928542
359,2,266.852167341705
360,3,174.715911511956
361,6,224.890791994554
362,3,183.598993177374
363,3,281.29003502744
364,1,64.3406683505132
365,3,128.95550165801
366,1,134.145409906734
367,1,115.636427144333
368,1,136.57740973719
369,1,252.366291645108
370,1,166.778549552696
371,1,280.440958054713
372,3,171.716103697291
373,1,312.608937263395
374,3,215.31265923551
375,1,254.539784646567
376,1,285.131839084595
377,3,270.190553499742
378,1,113.383831960165
379,2,472.281437382203
380,3,240.625878585404
381,1,75.8195510582828
382,3,111.475243379446
383,5,140.227163701871
384,1,148.282821374359
385,5,64.3098288001669
386,6,258.937167283809
387,1,167.391694466189
388,1,141.004705807749
389,1,121.432112129625
390,2,347.959599091318
391,5,60.7000497652932
392,1,174.039892954756
393,2,158.001411516371
394,1,134.653846585019
395,1,167.622569814471
396,5,112.687133275907
397,5,112.961824329701
398,1,153.50120245558
399,3,211.195113045873
400,1,143.983267562574
401,1,178.869413682286
402,3,140.587130650755
403,1,199.353399492152
404,6,184.735488532415
405,1,127.32777711965
406,1,211.344836518649
407,1,145.513786069536
408,1,155.00704607517
409,6,318.662568400802
410,6,1292.87094945536
411,3,166.602934637925
412,2,197.690414599782
413,3,178.383866342906
414,3,139.007473217956
415,1,144.441217281639
416,5,65.5198827544462
417,2,153.281902653912
418,2,286.932786304825
419,5,100.972869860354
420,1,81.3643064136276
421,1,315.89026717708
422,1,107.288231504759
423,3,155.807079461782
424,1,238.443377905433
425,2,167.659282191332
426,5,108.412125608701
427,1,101.225063363019
428,2,234.769485174953
429,2,1367.47773425801
430,1,98.4171249392855
431,1,204.184893642755
432,5,131.59116999337
433,5,156.266146063687
434,2,366.322155306884
435,1,93.62581591908
436,1,120.327752031417
437,2,419.897959392638
438,2,227.820408522984
439,3,117.853638754948
440,3,134.633458941044
441,1,128.558015621772
442,3,496.71227848501
443,6,325.208024680162
444,7,697.485086493943
445,2,178.234912443848
446,1,142.567538045791
447,1,86.3768835901193
448,1,258.063344641906
449,6,169.029685815973
450,6,555.398289813624
451,6,588.903385093019
452,2,308.501630449703
453,2,340.787295162658
454,2,278.335318397678
455,3,151.271935491195
456,1,311.516141329699
457,1,197.491453914494
458,1,134.727735830064
459,1,151.24346463694
460,3,136.013646413987
461,1,135.842047104762
462,1,139.725078230425
463,2,113.063885774938
464,3,285.051587020404
465,2,284.384362514622
466,2,162.188330030601
467,2,221.043251915738
468,1,93.6028235372698
469,3,286.868703293364
470,1,162.447291496899
471,1,175.413818738306
472,3,895.828119222884
473,1,168.856134263158
474,3,214.215336641477
475,1,85.8954654196181
476,6,320.606537729797
477,2,214.404233387731
478,3,326.399284912318
479,1,156.581742893292
480,1,141.729811071841
481,3,286.468861327874
482,3,396.320595253198
483,3,167.258525238244
484,2,155.513902300455
485,5,73.1694476996666
486,1,112.24830883995
487,2,215.804033124227
488,2,155.108213821502
489,3,189.782244621433
490,3,229.153841875905
491,1,175.641496934985
492,3,195.867494464272
493,1,165.707918619107
494,1,167.682099582972
495,3,428.820676759264
496,1,117.556359504668
497,1,70.6091109598987
498,1,167.280760605484
499,1,204.140045548677
500,3,182.380389731179
501,1,117.942264123423
502,2,1499.5429257483
503,3,200.361438941787
504,2,312.112780699513
505,1,129.471342739551
506,1,94.315693437454
507,1,181.594400828266
508,1,185.343829890962
509,3,195.525648905487
510,6,107.048114996355
511,1,89.59762114268
512,2,128.380680489888
513,6,180.196203925188
514,2,207.510389985973
515,1,126.253275229061
516,1,246.114683566698
517,1,166.370809891174
518,2,148.106642225826
519,1,210.770096050317
520,3,511.395969014248
521,3,193.537970594953
522,2,297.027318662215
523,1,183.169782128823
524,2,140.688762843737
525,2,255.589023848584
526,1,90.510759427188
527,9,157.220493370779
528,3,393.62798809716
529,3,142.360667929039
530,2,523.907713320835
531,1,118.443083554784
532,2,459.46880628355
533,1,136.318853413279
534,1,209.967811886948
535,1,84.1374812131314
536,1,99.5857033190522
537,1,235.656673833499
538,2,384.460023145957
539,1,67.9821002617587
540,1,194.348788761632
541,3,751.879870924104
542,6,235.639682767755
543,1,158.969324352759
544,3,158.213950439956
545,2,215.614294654108
546,6,197.458876062759
547,1,125.352453296546
548,3,125.634973649299
549,2,327.605953262893
550,1,176.933872167469
551,1,263.472314272309
552,1,193.895069201576
553,1,172.701063366614
554,1,200.228688760787
555,1,205.679722541777
556,1,117.767719029757
557,1,121.313274199319
558,1,96.4414220155454
559,3,157.389448185839
